"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","325","Проверка валидации поля Телефон","tests","2026-06-05","passed","2026-06-05","TestOrderValidation","test_order_validation","",""
"При клике на вопрос должен открываться соответствующий ответ","112","Проверка ответов на вопросы","tests","2026-06-05","passed","2026-06-05","TestFAQ","test_faq","",""
"При клике на вопрос должен открываться соответствующий ответ","216","Проверка ответов на вопросы","tests","2026-06-05","passed","2026-06-05","TestFAQ","test_faq","",""
"При клике на вопрос должен открываться соответствующий ответ","181","Проверка ответов на вопросы","tests","2026-06-05","passed","2026-06-05","TestFAQ","test_faq","",""
"При клике на вопрос должен открываться соответствующий ответ","139","Проверка ответов на вопросы","tests","2026-06-05","passed","2026-06-05","TestFAQ","test_faq","",""
"","396","Проверка валидации поля Телефон","tests","2026-06-05","passed","2026-06-05","TestOrderValidation","test_order_validation","",""
"Проверка полного цикла оформления заказа","16957","Позитивный сценарий заказа самоката","tests","2026-06-05","broken","2026-06-05","TestOrderPage","test_order_page","",""
"","401","Проверка валидации поля Имя","tests","2026-06-05","passed","2026-06-05","TestOrderValidation","test_order_validation","",""
"При клике на вопрос должен открываться соответствующий ответ","675","Проверка ответов на вопросы","tests","2026-06-05","passed","2026-06-05","TestFAQ","test_faq","",""
"","382","Проверка валидации поля Фамилия","tests","2026-06-05","passed","2026-06-05","TestOrderValidation","test_order_validation","",""
"","398","Проверка валидации поля Адрес","tests","2026-06-05","failed","2026-06-05","TestOrderValidation","test_order_validation","",""
"","333","Проверка валидации поля Телефон","tests","2026-06-05","passed","2026-06-05","TestOrderValidation","test_order_validation","",""
"При пустом адресе должно появляться сообщение об ошибке","392","Проверка валидации поля Адрес","tests","2026-06-04","failed","2026-06-04","TestOrderValidation","test_order_validation","",""
"","363","Проверка валидации поля Фамилия","tests","2026-06-05","passed","2026-06-05","TestOrderValidation","test_order_validation","",""
"","360","Проверка валидации поля Имя","tests","2026-06-05","passed","2026-06-05","TestOrderValidation","test_order_validation","",""
"При клике на вопрос должен открываться соответствующий ответ","151","Проверка ответов на вопросы","tests","2026-06-05","passed","2026-06-05","TestFAQ","test_faq","",""
"Проверка полного цикла оформления заказа","938","Позитивный сценарий заказа самоката","tests","2026-06-04","passed","2026-06-04","TestOrderPage","test_order_page","",""
"При клике на вопрос должен открываться соответствующий ответ","182","Проверка ответов на вопросы","tests","2026-06-05","passed","2026-06-05","TestFAQ","test_faq","",""
"","288","Проверка валидации поля Имя","tests","2026-06-05","passed","2026-06-05","TestOrderValidation","test_order_validation","",""
"Проверка полного цикла оформления заказа","17261","Позитивный сценарий заказа самоката","tests","2026-06-05","broken","2026-06-05","TestOrderPage","test_order_page","",""
"Проверка полного цикла оформления заказа","889","Позитивный сценарий заказа самоката","tests","2026-06-04","passed","2026-06-04","TestOrderPage","test_order_page","",""
"","130","Проверка перехода по логотипу Самоката","tests","2026-06-05","passed","2026-06-05","TestRedirects","test_redirects","",""
"При вводе некорректного телефона должно появляться сообщение об ошибке","354","Проверка валидации поля Телефон","tests","2026-06-04","failed","2026-06-04","TestOrderValidation","test_order_validation","",""
"При вводе некорректного имени должно появляться сообщение об ошибке","502","Проверка валидации поля Имя","tests","2026-06-04","passed","2026-06-04","TestOrderValidation","test_order_validation","",""
"","5034","Проверка перехода по логотипу Яндекса","tests","2026-06-05","passed","2026-06-05","TestRedirects","test_redirects","",""
"При клике на вопрос должен открываться соответствующий ответ","171","Проверка ответов на вопросы","tests","2026-06-05","passed","2026-06-05","TestFAQ","test_faq","",""
"","341","Проверка валидации поля Фамилия","tests","2026-06-05","passed","2026-06-05","TestOrderValidation","test_order_validation","",""
"","308","Проверка валидации поля Телефон","tests","2026-06-05","passed","2026-06-05","TestOrderValidation","test_order_validation","",""
